gene,Fish_kME
isogroup12738,0
isogroup1274,0.490345849725435
isogroup12743,0
isogroup12747,0.549785548987994
isogroup12748,0
isogroup1275,0.408823807528326
isogroup12751,0
isogroup12753,0
isogroup12755,0
isogroup1276,0
isogroup12763,0
isogroup12764,0
isogroup12767,0
isogroup12770,0.828070357270586
isogroup12773,0
isogroup12776,0
isogroup12777,0
isogroup12778,0
isogroup12779,0
isogroup1278,0.562333478596787
isogroup12780,0
isogroup12781,0
isogroup12789,0
isogroup1279,0
isogroup12790,0
isogroup12791,0
isogroup12794,0
isogroup12796,0
isogroup12799,0.827854934524039
isogroup128,0.805861584021276
isogroup12806,0
isogroup1281,0
isogroup12813,0
isogroup12814,0
isogroup12816,0
isogroup12818,0
isogroup12819,0
isogroup1282,0
isogroup12820,0
isogroup12825,0
isogroup12827,0
isogroup12829,0
isogroup1283,0
isogroup12831,0
isogroup12832,0
isogroup12833,0
isogroup12835,0
isogroup12836,0.335256931186506
isogroup1284,0
isogroup12847,0
isogroup1285,0
isogroup12850,0
isogroup12852,0
isogroup12853,0
isogroup12856,0
isogroup12858,0
isogroup1286,0
isogroup12860,0
isogroup12869,0
