gene,logP
isogroup1077,0.7
isogroup10770,0.6
isogroup10771,0.7
isogroup10772,0.1
isogroup10773,2.1
isogroup10776,0.9
isogroup10777,-0.2
isogroup10778,-0.6
isogroup10779,-0.7
isogroup1078,1
isogroup10780,0
isogroup10781,5.5
isogroup10782,1.2
isogroup10783,0.1
isogroup10784,1
isogroup10785,1.2
isogroup10786,2.5
isogroup10787,-2
isogroup10788,0
isogroup10789,-0.3
isogroup1079,-1.2
isogroup10790,0.4
isogroup10792,1.9
isogroup10793,0
isogroup10794,-0.5
isogroup10795,1.1
isogroup10796,-0.4
isogroup10797,0.5
isogroup10798,0.2
isogroup10799,0.6
isogroup108,1.3
isogroup1080,0
isogroup10800,-0.8
isogroup10801,-0.9
isogroup10802,-0.2
isogroup10803,0.2
isogroup10804,0.1
isogroup10805,-0.3
isogroup10806,-1.1
isogroup10807,-0.7
isogroup10808,-4
isogroup10809,0.8
isogroup1081,1.1
isogroup10810,1.5
isogroup10811,0.1
isogroup10812,0
isogroup10813,0.2
isogroup10814,2.8
isogroup10815,-0.4
isogroup10817,0.1
isogroup10818,-5.6
isogroup10819,8.8
isogroup1082,-0.3
isogroup10820,0.6
isogroup10821,0.5
isogroup10822,0.3
isogroup10823,-0.2
isogroup10824,-1.5
isogroup10825,1
isogroup10826,-9.9
isogroup10827,0.5
isogroup10828,0.4
isogroup1083,-0.5
isogroup10830,3.9
isogroup10831,0.9
isogroup10832,4
isogroup10833,0.7
isogroup10834,-0.3
isogroup10835,-0.2
isogroup10836,-1
isogroup10837,1
isogroup10838,4
isogroup10839,1.7
isogroup1084,0.7
isogroup10840,0.1
isogroup10841,0.1
isogroup10842,-0.1
isogroup10844,0.3
isogroup10845,0
isogroup10846,-0.8
isogroup10847,-2.4
isogroup10848,0.1
isogroup10849,0
isogroup1085,1.1
isogroup10850,-0.7
isogroup10851,0.6
isogroup10853,-0.6
isogroup10854,0.4
isogroup10855,1.3
isogroup10856,-0.3
isogroup10857,-0.8
isogroup10858,0.2
isogroup10859,0.8
isogroup1086,-1.6
isogroup10860,1.1
isogroup10861,-0.2
isogroup10862,-0.5
isogroup10865,0.3
isogroup10866,0.8
isogroup10867,-1.6
isogroup10868,-0.1
isogroup10869,0.2
isogroup1087,1
isogroup10870,0.3
isogroup10871,0.8
isogroup10872,0
isogroup10873,-5.1
isogroup10874,-0.1
isogroup10875,0.7
isogroup10876,0.9
isogroup10878,0.1
isogroup10879,0
isogroup1088,2.4
isogroup10880,1.8
isogroup10881,1.4
isogroup10884,1.1
isogroup10885,-0.7
isogroup10886,0.5
isogroup10888,0
isogroup10889,-0.6
isogroup1089,2.4
isogroup10890,0
isogroup10891,-0.2
isogroup10892,-0.3
isogroup10893,-1.9
isogroup10894,0.1
isogroup10895,1.4
isogroup10896,0.6
isogroup10898,-0.1
isogroup109,2
isogroup10900,-1.4
isogroup10901,1.1
isogroup10902,-7.4
isogroup10903,-5.1
isogroup10904,2
isogroup10905,0.4
isogroup10906,-2.9
isogroup10907,-0.1
isogroup10908,-2.2
isogroup10909,7.1
isogroup1091,1.9
isogroup10910,2.9
isogroup10911,-0.4
isogroup10912,-5.6
isogroup10913,-2.3
isogroup10914,0.3
isogroup10915,0
isogroup10916,0.1
isogroup10917,-0.7
isogroup10918,-0.4
isogroup1092,-0.1
isogroup10920,-10
isogroup10921,0.5
isogroup10922,0.5
isogroup10923,-1
isogroup10924,5.2
isogroup10925,0.4
isogroup10926,0.8
isogroup10927,0.3
isogroup10928,3
isogroup10929,0.2
isogroup1093,0.4
isogroup10930,1.5
isogroup10931,0.9
isogroup10932,-0.7
isogroup10933,-1
isogroup10934,1.2
isogroup10935,-0.5
isogroup10936,0.2
isogroup10937,-0.2
isogroup10938,-1
isogroup10939,-0.1
isogroup1094,1.4
isogroup1094.1,-0.1
isogroup10940,-0.1
isogroup10941,-0.2
isogroup10943,-2.1
isogroup10944,0.8
isogroup10945,-0.3
isogroup10946,0.5
isogroup10947,0.2
isogroup10948,2.5
isogroup10949,0.6
isogroup1095,1.2
isogroup10950,-0.5
isogroup10951,2.3
isogroup10952,-0.7
isogroup10953,-0.4
isogroup10954,0
isogroup10955,-4.3
isogroup10956,0
isogroup10957,0
isogroup10958,0.2
isogroup10959,0.1
isogroup1096,1.2
isogroup10960,0.6
isogroup10961,0.2
isogroup10962,0.4
isogroup10963,-0.8
isogroup10964,-0.9
isogroup10965,0.2
isogroup10966,-0.9
isogroup10967,-0.2
isogroup10968,0.1
isogroup10969,-0.2
isogroup1097,0.8
isogroup10970,-1.1
isogroup10971,0.7
isogroup10972,0.2
isogroup10973,-0.3
isogroup10974,-2.7
isogroup10975,0.4
isogroup10976,0.1
isogroup10977,0.8
isogroup10978,-0.2
isogroup10979,-10
isogroup1098,2.3
isogroup10980,-0.3
isogroup10981,0.5
isogroup10982,-0.2
isogroup10983,1
isogroup10984,0.3
isogroup10985,-3.6
isogroup10986,-3.4
isogroup10988,3.5
isogroup10989,3.4
isogroup10990,-9.9
isogroup10991,0
isogroup10993,0
isogroup10994,-1.3
isogroup10995,-0.2
isogroup10996,0.8
isogroup10997,-1.5
isogroup10998,1.2
isogroup10999,0.2
isogroup11,4
