gene,lp
isogroup10939,-0.02
isogroup1094,0.06
isogroup1094.1,0.79
isogroup10940,0.42
isogroup10941,0.7
isogroup10942,0.12
isogroup10943,3.68
isogroup10944,2.85
isogroup10945,0.12
isogroup10946,0.09
isogroup10947,-1.71
isogroup10948,-0.1
isogroup10949,-1.31
isogroup1095,-1.22
isogroup10950,-1.14
isogroup10951,-0.12
isogroup10952,-0.87
isogroup10953,0.74
isogroup10954,1.49
isogroup10955,0.92
isogroup10956,0.02
isogroup10957,1.12
isogroup10958,-0.19
isogroup10959,0.16
isogroup1096,0.27
isogroup10960,0.48
isogroup10961,0.78
isogroup10962,-0.06
isogroup10963,5.49
isogroup10964,0.21
isogroup10965,1.05
isogroup10966,0.78
isogroup10967,-0.93
isogroup10968,-0.57
isogroup10969,0.1
isogroup1097,-1.58
isogroup10970,0.59
isogroup10971,-0.05
isogroup10972,1.2
isogroup10973,0.21
isogroup10974,-0.5
isogroup10975,1.28
isogroup10976,1
isogroup10977,-0.05
isogroup10978,0.13
isogroup10979,-1.97
isogroup1098,-2.68
isogroup10980,-0.71
isogroup10981,-0.02
isogroup10982,-1.58
isogroup10983,1.62
isogroup10984,-0.48
isogroup10985,-0.21
isogroup10986,-0.16
isogroup10987,-0.22
isogroup10988,-0.41
isogroup10989,-1.19
isogroup10990,0.16
isogroup10991,-0.28
isogroup10992,-0.84
isogroup10993,0.49
isogroup10994,-0.13
isogroup10995,2.68
isogroup10996,-1.01
isogroup10997,0.23
isogroup10998,-1.7
isogroup10999,0.02
isogroup11,-0.01
isogroup110,-0.62
isogroup1100,0
isogroup11000,-0.05
isogroup11001,0.06
isogroup11002,0.31
isogroup11003,0.64
isogroup11004,0.6
isogroup11005,3.05
isogroup11006,-0.11
isogroup11007,1
isogroup11008,0.27
isogroup11009,0.32
isogroup1101,-1.59
isogroup11010,1.47
isogroup11011,-0.64
isogroup11012,-0.37
isogroup11013,-0.22
isogroup11014,0.18
isogroup11015,1.13
isogroup11016,-0.54
isogroup11017,0.17
isogroup11018,0.54
isogroup11019,0.68
isogroup11020,0.04
isogroup11021,0.36
isogroup11022,-0.84
isogroup11023,-0.63
isogroup11024,-1.03
isogroup11025,0.21
isogroup11026,1.54
isogroup11027,0.15
isogroup11028,-0.28
isogroup11029,-2.11
isogroup1103,1.42
isogroup11030,-0.02
isogroup11031,-0.78
isogroup11032,0.55
isogroup11033,-1.08
isogroup11034,0.88
isogroup11035,2.64
isogroup11036,-1.13
isogroup11037,0.01
isogroup11038,0.23
isogroup11039,0.57
isogroup1104,2.12
isogroup11040,0.57
isogroup11041,0.19
isogroup11041.1,-0.42
isogroup11042,-0.43
isogroup11043,0.32
isogroup11044,0.51
isogroup11045,-0.06
isogroup11046,-0.11
isogroup11047,0.37
isogroup11048,-2.19
isogroup11049,0.33
isogroup1105,-0.62
isogroup11050,-0.67
isogroup11051,2.68
isogroup11052,1.19
isogroup11053,-0.11
isogroup11054,1.47
isogroup11055,3.99
isogroup11056,0.26
isogroup11057,0.58
isogroup11058,-0.22
isogroup11059,-0.15
isogroup1106,-0.02
isogroup11060,-1.2
isogroup11061,1.89
isogroup11063,-0.17
isogroup11064,2.36
isogroup11065,0.01
isogroup11066,0.49
isogroup11067,-0.94
isogroup11068,1.47
isogroup11069,0.56
isogroup1107,1.05
isogroup1107.1,0.26
isogroup1107.2,-1.88
isogroup11070,0.4
isogroup11071,2.3
isogroup11072,0.97
isogroup11073,-0.05
isogroup11074,-0.94
isogroup11075,0.48
isogroup11076,-0.22
isogroup11077,0.8
isogroup11078,-0.99
isogroup11079,0.02
isogroup1108,-2.03
isogroup11080,-0.1
isogroup11081,2.07
isogroup11082,0.04
isogroup11083,-0.23
isogroup11084,-0.62
isogroup11085,-0.3
isogroup11085.1,0.77
isogroup11086,0.57
isogroup11087,-0.16
isogroup11088,0.9
isogroup11089,0.06
isogroup1109,0.22
isogroup11090,-0.05
isogroup11091,-0.07
isogroup11092,-0.1
isogroup11093,0.18
isogroup11094,0.23
isogroup11095,-1.59
isogroup11096,-1.59
isogroup11097,0.36
isogroup11098,3.39
isogroup11099,0.15
isogroup111,-0.7
isogroup11100,-0.47
isogroup11101,-3.49
isogroup11102,-0.1
isogroup11103,-0.28
isogroup11104,-0.11
isogroup11105,0.2
isogroup11106,-2.33
isogroup11107,-0.67
isogroup11108,0.69
isogroup11109,-0.15
isogroup1111,-1.06
isogroup11110,-0.12
